序号,模块,功能点/接口,负责人,状态,开始日期,结束日期,备注,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27,1/28,1/29,1/30,1/31,2/1,2/2,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,2/12,2/13,2/14,2/15,2/16,2/17,2/18
1.1,前端-首页,顶部公告条,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,前端-首页,头部导航（PC端9菜单）,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,前端-首页,登录/注册按钮,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,前端-首页,Banner轮播（4秒切换）,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,前端-首页,游戏分类（6个入口）,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,前端-首页,中奖滚动公告,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,前端-首页,热门游戏列表,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,前端-首页,响应式适配,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,前端-优惠页,活动列表展示,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,前端-优惠页,活动详情页,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,前端-朋友圈,专属提示条,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,前端-朋友圈,顶部Banner图片,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,前端-朋友圈,Tab切换（3个Tab）,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,前端-朋友圈,动态列表,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,前端-公共组件,悬浮联系按钮,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,前端-公共组件,底部导航（H5）,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,前端-公共组件,反馈弹窗,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,后台-登录,IP白名单验证,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,后台-登录,Google验证码,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,后台-登录,角色权限控制,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,后台-登录,登录日志记录,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,后台-数据统计,统计卡片（4项）,,待开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
